상태,피그마,key,설명,en,lo,th,zh
번역 완료,ADMIN 기타,‘A’ document has been modified.,Discription,‘A’ document has been modified.,ເອກະສານ ‘A’ ໄດ້ຖືກປັບປ່ຽນແລ້ວ.,,
번역 완료,"ADMIN 랭킹, RANKING 메인","""₭ 0"" excluded",,"""₭ 0"" excluded","ບໍ່ລວມ ""0 ກີບ"" ",,
병합 필요,ADMIN 로지스틱스(보류),"(e.g. valuables, fragile goods, food etc.)",,"(e.g. valuables, fragile goods, food etc.)","(ເຊັ່ນ: ວັດຖຸມີຄ່າ, ແຕກຫັກງ່າຍ, ອາຫານ ແລະ ອື່ນໆ.)",,
번역 완료,ADMIN 드라이버관리,(optional),,(optional),(ທາງເລືອກ),,
확인 필요,ADMIN 콕콕관리,[KOKKOK] Pick-up completed,KOKKOK (겹침),Pick-up completed,ຮັບເຄື່ອງ ສຳເລັດ,,
확인 필요,ADMIN 콕콕관리,[KOKKOK] Pick-up location,KOKKOK (겹침),Pick-up location,ຈຸດ ຮັບເຄື່ອງ,จุดรับ,
확인 필요,ADMIN 무브관리,[Move] Pick-up completed,Move (겹침),Pick-up completed,ຮັບຜູ້ໂດຍສານ ສຳເລັດ,,
확인 필요,"ADMIN 무브관리, ADMIN 무브배차",[Move] Pick-up location,Move (겹침),Pick-up location,ຈຸດຮັບຜູ້ໂດຍສານ,,
번역 완료,ADMIN 드라이버관리,0~5 km,드라이버 탭 Performance table header,0~5 km,0~5 ກິໂລແມັດ,,
번역 완료,ADMIN 기타,1:1 Inquiry,Title,1:1 Inquiry,1:1 ສອບຖາມ,,
번역 완료,ADMIN 차량관리,3rd party repair,,3rd party repair,ການສ້ອມແປງໂດຍບຸກຄົນທີ່ສາມ,,
번역 완료,ADMIN 드라이버관리,5~9 km,,5~9 km,5~9 ກິໂລແມັດ,,
번역 완료,"ADMIN 로그인, ADMIN 설정",8-20 characters,,8-20 characters,8-20 ຕົວອັກສອນ,,
번역 완료,ADMIN 드라이버관리,9 km ~,,9 km ~,9 ກິໂລແມັດ ~,,
번역 완료,ADMIN 기타,A complaint for A-123400009999 has been registered.,Discription,A complaint for A-123400009999 has been registered.,ຄຳຕຳໜິ ເລກທີ A-123400009999 ໄດ້ສົ່ງເຖິງລະບົບເຮົາແລ້ວ.,,
번역 완료,ADMIN 차량관리,Accesorries,,Accesorries,ອຸປະກອນເສີມ,,
번역 완료,ADMIN 차량관리,Accident,,Accident,ອຸບັດເຫດ,,
번역 완료,ADMIN 회원관리,Account has been locked due to multiple request verification code. Please try again later.,,Account has been locked due to multiple request verification code. Please try again later.,ບັນຊີໄດ້ຖືກລັອກເນື່ອງຈາກມີຄໍາຮ້ອງຂໍລະຫັດຢືນຢັນຫຼາຍຄັ້ງ. ກະລຸນາລອງໃໝ່ໃນພາຍຫຼັງ.,,
번역 완료,ADMIN 정산,Account holder,,Account holder,ເຂົ້າຂອງບັນຊີ,,
번역 완료,"ADMIN 설정, ADMIN 정산",Account information,,Account information,ຂໍ້ມູນບັນຊີ,,
번역 완료,ADMIN 정산,Account number,,Account number,ເລກບັນຊີທະນາຄານ,,
번역 완료,ADMIN 회원관리,Activated,,Activated,ເປີດນຳໃຊ້ແລ້ວ,,
번역 완료,ADMIN 모니터링,Activation,,Activation,ການເປີດໃຊ້ງານ,การเปิดใช้งาน,
번역 완료,ADMIN 드라이버관리,Actual time,,Actual time,ເວລາຕົວຈິງ,เวลาจริง,
번역 완료,ADMIN 드라이버관리,Add,,Add,ເພີ່ມ,,
번역 완료,,Add a main driver,,Add a main driver,ເພີ່ມຄົນຂັບຫຼັກ,,
번역 완료,,Add a sub driver,,Add a sub driver,ເພີ່ມຄົນຂັບຍ່ອຍ,,
번역 완료,ADMIN 설정,Add administrator,,Add administrator,ເພີ່ມຜູ້ດູແລລະບົບ,เพิ่มผู้ดูแลระบบ,
번역 완료,ADMIN 차량관리,Add advertisement,,Add advertisement,ເພີ່ມໂຄສະນາ,,
번역 완료,ADMIN 지원,Add banner,,Add banner,ເພີ່ມ ປ້າຍໂຄສະນາ,,
번역 완료,ADMIN 배터리,Add battery,,Add battery,ເພີ່ມແບດເຕີລີ,,
번역 완료,ADMIN 지원,Add coupon,,Add coupon,ເພີ່ມຄູປອງ,,
번역 완료,ADMIN 설정,Add hub,,Add hub,ເພີ່ມສູນຂົນສົ່ງ,,
번역 완료,ADMIN 배터리,Add more,,Add more,ເພີ່ມຕື່ມ,,
번역 완료,ADMIN 지원,Add notice,,Add notice,ເພີ່ມແຈ້ງການ,,
번역 완료,ADMIN 로지스틱스(보류),Add order,,Add order,ເພີ່ມ ຄໍາສັ່ງຂົນສົ່ງ,,
번역 완료,ADMIN 설정,Add popup,,Add popup,ເພີ່ມການແຈ້ງເຕືອນ,,
번역 완료,ADMIN 차량관리,Add vehicle,차량 관리,Add vehicle,ເພີ່ມພາຫະນະ,,
번역 완료,ADMIN 드라이버관리,Addition,,Addition,ເພີ່ມ,,
번역 완료,ADMIN 드라이버관리,Additional payment related,,Additional payment related,ການຊໍາລະເພີ່ມເຕີມທີ່ກ່ຽວຂ້ອງ,,
병합 필요,ADMIN 설정,Address,,Address,ທີ່ຢູ່,,
번역 완료,ADMIN 설정,Admin,,Admin,ຜູ້ບໍລິຫານ,,
번역 완료,ADMIN 콕콕관리,Admin ID,,Admin ID,ເລກລະຫັດແອັດມິນ,,
번역 완료,ADMIN 설정,Administrator account,,Administrator account,ບັນຊີ ຜູ້ດູແລການຂົນສົ່ງ,,
번역 완료,ADMIN 설정,Administrator email,,Administrator email,ອີເມວຜູ້ດູແລການຂົນສົ່ງ,,
번역 완료,ADMIN 설정,Administrator name,,Administrator name,ຊື່ຜູ້ດູແລການຂົນສົ່ງ,,
번역 완료,ADMIN 차량관리,Advertisement,,Advertisement,ໂຄສະນາ,,
번역 완료,ADMIN 드라이버관리,Agree,,Agree,ເຫັນດີ,ตกลง,
번역 완료,ADMIN 지원,Alarm,,Alarm,ແຈ້ງເຕືອນ,,
번역 완료,ADMIN 콕콕관리,All,,All,ທັງໝົດ,,
번역 완료,ADMIN 지원,All (who agreed marketing notice),,All (who agreed marketing notice),ທັງ​ຫມົດ (ທີ່​ໄດ້​ຕົກ​ລົງ​ແຈ້ງ​ການ​ການ​ຕະ​ຫຼາດ​),ทั้งหมด(ที่ตกลงประกาศการตลาด),
번역 완료,ADMIN 지원,All (who disagreed marketing notice),,All (who disagreed marketing notice),ທັງໝົດ (ຜູ້ທີ່ບໍ່ເຫັນດີກັບແຈ້ງການການຕະຫຼາດ),ทั้งหมด (ที่ไม่เห็นด้วยกับประกาศทางการตลาด),
번역 완료,ADMIN 드라이버관리,Amount,,Amount,ມູນຄ່າ,,
번역 완료,ADMIN 지원,Android,,Android,Android,,
번역 완료,ADMIN 지원,Answered,,Answered,ວັນທີ ຕອບກັບ,,
번역 완료,ADMIN 기타,Any problems with the delivery?,,Any problems with the delivery?,ມີປັນຫາ ເກີດຂຶ້ນກັບການຂົນສົ່ງບໍ່?,,
번역 완료,ADMIN 지원,App,,App,ແອັບ,,
병합 필요,ADMIN 콕콕관리,Apply,,Apply,ສະໝັກ,,
번역 완료,ADMIN 드라이버관리,Approval,,Approval,ການອະນຸມັດ,,
번역 완료,ADMIN 드라이버관리,Approve the vehicle registration,타이틀,Approve the vehicle registration,ອະນຸມັດການຂຶ້ນທະບຽນລົດ,,
병합 필요,ADMIN. 캘린더,APR,Month (short),APR,ເດືອນເມສາ,,
번역 완료,ADMIN. 캘린더,April,Month (full),April,ເດືອນເມສາ,,
번역 완료,ADMIN 드라이버관리,Are you sure to deduct the points?,,Are you sure to deduct the points?,ທ່ານແນ່ໃຈບໍ່ທີ່ຈະຫັກຄະແນນ?,,
번역 완료,ADMIN 드라이버관리,Are you sure to deduct?,,Are you sure to deduct?,ເຈົ້າໝັ້ນໃຈແລ້ວບໍທີ່ຈະໃຫ້ຫັກເງິນ?,,
번역 완료,ADMIN 콕콕관리,Are you sure you want to cancel the dispatch? You can’t undo this action :(,본문,Are you sure you want to cancel the dispatch? You can’t undo this action :(,ທ່ານແນ່ໃຈບໍ່ວ່າຕ້ອງການປ່ຽນຄົນຂັບລົດ? ປ່ຽນແລ້ວ ທ່ານບໍ່ສາມາດກັບຄືນໄດ້ :(,,
병합 필요,ADMIN 회원관리,Are you sure you want to change the client status? You can’t undo this action :(,,Are you sure you want to change the client status? You can’t undo this action :(,ທ່ານແນ່ໃຈບໍ່ ວ່າທ່ານຕ້ອງການປ່ຽນແປງສະຖານະຂອງລູກຄ້າ? ປ່ຽນແລ້ວທ່ານບໍ່ສາມາດປ່ຽນກັບຄືນ :(,,
병합 필요,ADMIN 드라이버관리,Are you sure you want to change the driver status? You can’t undo this action :(,본문,Are you sure you want to change the driver status? You can’t undo this action :(,ທ່ານແນ່ໃຈບໍ່ ວ່າທ່ານຕ້ອງການປ່ຽນສະຖານະຂອງຜູ້ຂັບລົດຂົນສົ່ງ? ປ່ຽນແລ້ວທ່ານບໍ່ສາມາດກັບຄືນ :(,,
병합 필요,ADMIN 콕콕관리,Are you sure you want to change the order status? You can’t undo this action :(,본문,Are you sure you want to change the order status? You can’t undo this action :(,ທ່ານແນ່ໃຈບໍ່ວ່າຕ້ອງການປ່ຽນ ສະຖານະຄໍາສັ່ງຂົນສົ່ງ? ປ່ຽນແລ້ວ ທ່ານບໍ່ສາມາດກັບຄືນໄດ້ :(,,
번역 완료,ADMIN 무브관리,Are you sure you want to change the payment status? You can’t undo this action :(,,Are you sure you want to change the payment status? You can’t undo this action :(,ທ່ານແນ່ໃຈບໍ່ວ່າຕ້ອງການປ່ຽນສະຖານະການຈ່າຍເງິນ? ທ່ານບໍ່ສາມາດຍົກເລີກການກະທຳນີ້ໄດ້ :(,คุณแน่ใจหรือไม่ว่าต้องการเปลี่ยนสถานะการชำระเงิน คุณไม่สามารถยกเลิกการกระทำนี้ได้ :(,
